firstname,lastname,department,major,email
Bennett,Thomas,CSC,CS,sdfvsdv
Rex ,Reagan,MTH,MTH,vsdfvfsv
Chris,Grande,HIS,HIS,erwetrwt
Bill,Brown,CSC,CS,brownb@farmingdale.edu
Alen,John,EGL,English,csdcsd@sccs.sdcs
John,John,MTH,MTH,john2@farmingdale.edu
Melvin,John,PSY,PSY,johnm@farmingdale.edu
Alex,Williams,CPIS,CPIS,willa@farmingdale.edu
Tyler,Rock,STS,STS,rockt@farmingdale.edu
Ernie,Sanders,English,EGL,sandl@farmingdale.edu
Eddie,Brock,CSC,CS,brock@farmingdale.edu
fvdfv,evfv,fvevf,CPIS,fevevf@farmingdale.edu
CSVTEST1_A,CSVTEST1_B,CSVTEST1_C,CSVTEST1_D,CSVTEST1_E
CSVTEST2_A,CSVTEST2_B,CSVTEST2_C,CSVTEST2_D,CSVTEST2_E
